precinct_id,type,detail,severity
Precinct 0510000,OVERVOTE,Ballots(500) > Reg(0),HIGH
Precinct 0510001,OVERVOTE,Ballots(500) > Reg(0),HIGH
Precinct 0510002,OVERVOTE,Ballots(500) > Reg(0),HIGH
Precinct 0510003,OVERVOTE,Ballots(500) > Reg(0),HIGH
Precinct 0510004,OVERVOTE,Ballots(500) > Reg(0),HIGH
Precinct 0510005,OVERVOTE,Ballots(500) > Reg(0),HIGH
Precinct 0510006,OVERVOTE,Ballots(500) > Reg(0),HIGH
Precinct 0510007,OVERVOTE,Ballots(500) > Reg(0),HIGH
Precinct 0510008,OVERVOTE,Ballots(500) > Reg(0),HIGH
Precinct 0510009,OVERVOTE,Ballots(500) > Reg(0),HIGH
