region_id,region_name,registered_total,doors_to_knock,expected_contacts,volunteers_needed,weeks_required
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
