canonical_precinct_id,persuasion_target_count,avg_ps
200048,7,0.5837
200147,7,0.5719
100197,6,0.5477
100151,6,0.5857
200032,5,0.5658
200096,5,0.5568
200088,5,0.5731
250015,5,0.5489
250002,4,0.5604
250053,4,0.5316
250008,4,0.5682
200130,3,0.6024
250023,3,0.5549
200122,3,0.5766
250024,3,0.5582
250027,3,0.5515
200043,3,0.5647
200044,3,0.5697
100149,2,0.5495
200051,2,0.5211
200029,2,0.5754
100250,2,0.5638
100134,2,0.6124
250043,2,0.5715
200117,2,0.5881
250031,2,0.5537
200142,2,0.5928
200062,2,0.5603
250007,2,0.5553
200056,2,0.5782
200020,2,0.6148
200010,2,0.586
200008,2,0.5451
200006,2,0.5628
100267,2,0.5705
200136,2,0.5677
200121,2,0.5808
200061,2,0.561
100142,1,0.5621
250052,1,0.5999
250013,1,0.5505
200024,1,0.5488
200053,1,0.5585
200009,1,0.5568
100128,1,0.5417
200060,1,0.5457
200059,1,0.5473
250048,1,0.5336
250036,1,0.5687
200035,0,0.5658
200014,0,0.5443
250001,0,0.586
250032,0,0.5929
250037,0,0.5358
250047,0,0.5663
