PrecinctID_Raw,Rank,TargetTier,TargetScore,TurnoutPct,SupportPct,Registered,BallotsCast,GeographyLevel
Precinct 0510000,1,3,0.336,0.0,0.6,0,500,MPREC
Precinct 0510001,1,3,0.336,0.0,0.6,0,500,MPREC
Precinct 0510002,1,3,0.336,0.0,0.6,0,500,MPREC
Precinct 0510003,1,3,0.336,0.0,0.6,0,500,MPREC
Precinct 0510004,1,3,0.336,0.0,0.6,0,500,MPREC
Precinct 0510005,1,3,0.336,0.0,0.6,0,500,MPREC
Precinct 0510006,1,3,0.336,0.0,0.6,0,500,MPREC
Precinct 0510007,1,3,0.336,0.0,0.6,0,500,MPREC
Precinct 0510008,1,3,0.336,0.0,0.6,0,500,MPREC
Precinct 0510009,1,3,0.336,0.0,0.6,0,500,MPREC
